Age,2018-2019,2019-2020,2020-2021,2021-2022
0-6m,37552.5,36280,34646,34629.5
7-12m,37552.5,36280,34646,34629.5
1,79116,76022,73699,69565
2,81875,79620,77135,73958
3,84695,82300,80660,77466
4,86861,85067,83682,80857
5,88533,87242,86682,83974
6,91915,88821,87517,86830
7,93787,92013,89290,87660
8,96463,93991,92338,89480
9,98692,96782,94248,92516
10,98633,98664,97045,94416
11,97441,98737,99140,97160
12,97789,97568,99348,99316
13,95463,97967,98088,99531
14,95778,95729,98613,98227
15,93712,96079,96244,98821
16,92468,94090,96058,96582
17,93534,92846,93827,96518
18,95198,94438,92885,94444
19,94471,96559,95099,93569
20,95604,95790,97643,95937
21,95092,96608,97229,98552
22,94439,96156,98602,98209
23,93325,95693,98196,99648
24,94159,94989,97847,99358
25,96008,96291,97406,99108
26,99502,98414,98517,98636
27,100725,102237,100442,99665
28,103992,103414,104127,101553
29,105186,106567,104867,105135
30,108766,107554,107650,105912
31,107268,110812,108372,108447
32,108522,109093,111683,109172
33,112428,110118,109726,112329
34,115338,113852,110510,110306
35,118554,116544,113998,111092
36,123309,119588,116861,114485
37,124305,124112,119706,117186
38,127056,124995,124258,120021
39,130383,127531,125214,124494
40,137852,130774,127611,125407
41,143805,138105,130679,127785
42,149373,144006,137958,130819
43,159157,149545,143874,137998
44,164115,159303,149325,143784
45,164054,164177,159068,149272
46,165548,164021,163857,158919
47,165538,165437,163573,163643
48,164133,165584,164922,163388
49,168363,164121,165029,164744
50,167507,168262,163552,164768
51,167011,167340,167475,163231
52,170029,166682,166521,167090
53,168539,169652,165848,166065
54,167262,168236,168608,165362
55,156317,166957,167079,168123
56,148299,155897,165667,166622
57,143605,147857,154734,165066
58,138526,143184,146517,154208
59,134523,138042,141724,145955
60,128027,133949,136494,141048
61,125356,127416,132314,135784
62,123115,124714,125618,131549
63,119412,122405,122815,124929
64,116768,118648,120482,121924
65,112629,115894,116744,119550
66,111991,111738,114038,115712
67,110642,111032,109678,112985
68,114930,109629,109427,108593
69,115631,113693,107997,108182
70,119198,114336,111893,106569
71,115055,117752,112185,110208
72,117786,113502,115414,110382
73,86341,115962,110982,113316
74,91567,84776,113206,108761
75,89661,89829,82403,110641
76,90532,87799,87083,80395
77,91398,88391,84783,84616
78,97844,88964,85071,82115
79,93960,94898,85220,82063
80,88843,90760,90253,81896
81,77780,85531,85887,86170
82,68674,74385,80422,81634
83,67492,65275,69306,76041
84,60663,63704,60055,65006
85,54747,56653,57942,55716
86,50040,50629,50842,53080
87,44826,45748,44736,46183
88,40738,40549,39949,40295
89,33547,36243,34569,35246
90,28098,29330,30199,30009
91,23258,24052,23908,25886
92,18472,19579,18948,20223
93,14800,15293,15148,15636
94,11519,11929,11377,12216
95,8815,8983,8610,9029
96,6230,6634,6178,6685
97,4652,4624,4415,4681
98,3127,3328,2994,3217
99,1427,2093,2070,2141
100+,2196,2318,2534,3091
